epoch,loss,lr,val_loss
0,0.19558331026128192,1e-04,0.17704700592252165
1,0.17431649096938348,1e-04,0.17711895259927554
2,0.17082917180254653,1e-04,0.14581140742131002
3,0.1252014456605215,1e-04,0.09280711796010208
4,0.09031891812388484,1e-04,0.04721310759295867
5,0.054018091068997486,1e-04,0.02729856762472751
6,0.04186802428626223,1e-04,0.021380506642722574
7,0.036042325501305025,1e-04,0.01751004277610761
8,0.03351412604647403,1e-04,0.020090406914918844
9,0.032023783905379355,1e-04,0.01601248014899897
10,0.030508511881813558,1e-04,0.01599591948636041
11,0.029893293719936483,1e-04,0.015077095771038692
12,0.028951981805989034,1e-04,0.014642007957570612
13,0.028652687693511286,1e-04,0.01581930664185478
14,0.02751600982906604,1e-04,0.015414755910499707
15,0.027041714647242535,1e-04,0.015469474358950687
16,0.026984958531501364,1e-04,0.014936421680747006
17,0.026170059659664825,1e-04,0.01482238923146917
18,0.0263837401682798,1e-04,0.015019257954420594
19,0.02674162270260341,1e-04,0.01428113350709562
20,0.025426034115536716,1e-04,0.015741408556288937
21,0.02612615183958648,1e-04,0.014255424926921832
22,0.024884361725083407,1e-04,0.01424114711322724
23,0.024565484536425694,1e-04,0.014261169583920253
24,0.024450873312333223,1e-04,0.014910205553635503
25,0.023624618198956185,1e-04,0.01394009310273078
26,0.023670033099391585,1e-04,0.01457163953140529
27,0.023037938524491493,1e-04,0.014945059778126034
28,0.023048228959015815,1e-04,0.015075019062552406
29,0.02265563067647208,1e-04,0.014183260874408658
30,0.022912740516597283,1e-04,0.013635355690704253
31,0.02213838800128777,1e-04,0.013431454263592622
32,0.022727374609626615,1e-04,0.014810572446108044
33,0.022440489402881285,1e-04,0.013543864593862876
34,0.02222799786931073,1e-04,0.014836014991775127
35,0.022476596682609516,1e-04,0.013585473812971064
36,0.022163353136808377,1e-04,0.013385537844857442
37,0.0219467985308782,1e-04,0.013258740062688946
38,0.021527785238312686,1e-04,0.014006544655767754
39,0.02158023117195714,1e-04,0.014097948619992057
40,0.021884126887656445,1e-04,0.013606699516097824
41,0.021358860125743062,1e-04,0.013134515143276938
42,0.021838632112172587,1e-04,0.013472380368938053
43,0.02149850466954172,1e-04,0.013139308073845151
44,0.021628175346039405,1e-04,0.013703425476339483
45,0.021323777796363554,1e-04,0.012730241356625349
46,0.020747817937917024,1e-04,0.013814360998278328
47,0.02080020333971019,1e-04,0.01425221813917987
48,0.020507974468074786,1e-04,0.014076700443147587
49,0.020948854222776595,1e-04,0.012783925245193955
50,0.020454381951694068,1e-04,0.013768848702085484
51,0.020252978411363573,1e-04,0.013070119884295711
52,0.020645099392163396,1e-04,0.012957845426036533
53,0.02028563871864241,1e-04,0.012781037729957943
54,0.020093670235061718,1e-04,0.012703349876129432
55,0.020348797602298574,1e-04,0.013154299295514777
56,0.019605959000974085,1e-04,0.013190582596992297
57,0.01935018461435773,1e-04,0.013066403097231684
58,0.019539718752864574,1e-04,0.014178807548745752
59,0.019735207743174263,1e-04,0.014588253245551222
60,0.019810580452109563,1e-04,0.012996915491255078
61,0.01966992660523398,1e-04,0.013005886472958066
62,0.01958701379078329,1e-04,0.01446120239430418
63,0.019647061693814062,1e-04,0.012820237789057054
64,0.019200884599957137,1e-04,0.013349572692318045
